id,input,result,keyword_1,keyword_2,keyword_3
recreational_vehicles_139,LP LEAK; TV INOP,"Assured my RV does not have any leaks (e.g., LP, water)",leak,water,doe
activewear_146,I think the Nike is maroon !,"Always know what color descriptors mean (e.g., is my activewear actually maroon, or just red)",activewear,actually,always
oral_care_products_3842,"works great, good price",A product that is reasonably priced,priced,reasonably,product
oral_care_products_1104,Easy grip simple to use.,"Able to easily hold and use the product (e.g., easy-open cap on toothpaste, easy to grip)",cap,easyopen,grip
oral_care_products_2677,Teeth never felt cleaner!,"Confident that my teeth feel clean after using the product (e.g., no residue, fresh breath)",breath,residue,using
oral_care_products_3290,Good price fast shipment!,"Able to get my order quickly (e.g., fast shipping)",fast,order,quickly
oral_care_products_3586,"Easy to use, cute design.",A product that is easy to use,easy,use,product
oral_care_products_2716,It doesn't break easily.3.,Assured my toothbrush does not break easily,toothbrush,break,doe
oral_care_products_133,I like the two minute timer,"Able to know when my brushing is done (e.g., through a timer)",done,brushing,know
oral_care_products_3829,My teeth never felt better.,"Confident that my teeth feel better after using the product (e.g., clean, fresh, and healthy)",better,healthy,using
oral_care_products_3936,My teeth feel much cleaner!,"Able to get my money's worth (i.e., I don't overpay for the product)",dont,overpay,worth
activewear_139,"Reviewed in Italy on August 4, 2020.",[],able,activewear,actually
oral_care_products_1192,Mouth feels clean after use.,A product that leaves my mouth feeling fresh and clean,leaf,feeling,mouth
oral_care_products_2311,Once box lasts a whole year.,"Able to get a product that will last me a long time (e.g., more than 6 months)",month,last,time
oral_care_products_3357,feels super clean when done.,Mouth feels fresh and clean,mouth,feel,fresh
oral_care_products_3402,Charge lasts the whole week.,A charge that lasts me my entire week,charge,entire,week
oral_care_products_3871,Automatic 2 minute brushing.,"Able to set the time for how long I want to brush my teeth (e.g., automatic 2 minute timer)",automatic,brush,set
activewear_142,"In a few words, what didn't you like?",[],able,activewear,actually
oral_care_products_371,The bulk pack is way Cheaper.,Able to buy in bulk and save money,bulk,buy,save
oral_care_products_1359,PROS: Great variable control.,"Able to control the amount of toothpaste that comes out (e.g., a little or a lot)",amount,come,control
oral_care_products_1794,Like I said bad after taste .,"Confident that the product will not leave behind any residue (e.g., no aftertaste, teeth feel clean)",aftertaste,behind,leave
oral_care_products_1891,My kids love to use it also!!,A product that my children can use,child,use,product
oral_care_products_2943,Gets your teeth really clean.,"Confident that my teeth are clean (e.g., no residue, feeling fresh and clean)",clean,feeling,residue
oral_care_products_3445,has 4 30 second brush times .,"Able to easily track how long I am brushing (e.g., does not take more than 2 minutes)",take,track,brushing
oral_care_products_3752,Breaks after 90 day warranty.,Assured my product will not break after the warranty period is over,period,warranty,break
oral_care_products_4121,Great choice and easy to use.,"A wide variety of options to choose from (e.g., flavors, types)",choose,flavor,option
activewear_133,I am very pleased with these leggings!,[],able,activewear,actually
oral_care_products_35,Wish flavoring would be added.,"Flavorings (i.e., to make my breath fresh)",flavoring,make,breath
oral_care_products_1464,Made my gums become irritated.,"Never experience irritation after using the product (e.g., no gum pain, sensitivity)",experience,irritation,never
oral_care_products_2024,Works great!The price is fair.,"Assured I am getting my money's worth (i.e., the price is fair, not overpaying)",fair,getting,overpaying
oral_care_products_2575,This really cleans teeth well.,Confident that the product will clean my teeth well,well,confident,teeth
oral_care_products_2827,Thus preventing receding gums.,A product that prevents my gums from receding,prevents,receding,gum
oral_care_products_3038,Easy to use and a great price!,A product that is easy to use,easy,use,product
