id,sentence
Beauty_and_Personal_Care-first_200_reviews_0,Opened the package & instant migraine.
Beauty_and_Personal_Care-first_200_reviews_1,I cannot believe the stench.
Beauty_and_Personal_Care-first_200_reviews_2,"I have purchased other packages that did not smell at all so I do not know if these were a damaged shipment or damaged during packaging or what, but the minute I opened the Amazon package I smelled it before I even opened the Terra Tattoos package."
Beauty_and_Personal_Care-first_200_reviews_3,Then I find that the pink inks from the back have smeared all over the fronts of the tattoos.
Beauty_and_Personal_Care-first_200_reviews_4,"Yes, you eventually take the clear part off to apply the tattoo, but I always lay it down with the clear covering first to line it up & I didn’t want to risk the pink ink transferring to my art projects so it’s going back."
Beauty_and_Personal_Care-first_200_reviews_5,I’ll update the review when Amazon sends my replacement.
Beauty_and_Personal_Care-first_200_reviews_6,"I’m upset because now my resin is here & I don’t have the tattoos to do my project, but I’m more mad about the fact that I have a massive migraine because of the gasoline fumes that lingered."
Beauty_and_Personal_Care-first_200_reviews_7,"I believe they arrived a week ago, but I didn’t check the tattoos then as I didn’t have resin & the smell of gasoline is just as string toast when I opened them to check them as it was last week when I forgot to start the return."
Beauty_and_Personal_Care-first_200_reviews_8,I’ve been sick or I would have done it already.
Beauty_and_Personal_Care-first_200_reviews_9,I really hope the replacement tattoos are okay.
Beauty_and_Personal_Care-first_200_reviews_10,These have massive gaps at pump nozzle.
Beauty_and_Personal_Care-first_200_reviews_11,Tops the list for worst purchase.
Beauty_and_Personal_Care-first_200_reviews_12,Tried these for alcohol inks.
Beauty_and_Personal_Care-first_200_reviews_13,My mistake was not checking that every bottle would spray before filling them.
Beauty_and_Personal_Care-first_200_reviews_14,They both sprayed so I proceeded.
Beauty_and_Personal_Care-first_200_reviews_15,There is a gap where the pump is so if you shake your ink up and down it literally comes out the top which is why these are such a mess and if you knock it over the ink escapes.
Beauty_and_Personal_Care-first_200_reviews_16,"Luckily I worked over my sink or the mess would have been worse, but I’m still wearing  a lot of ink days later."
Beauty_and_Personal_Care-first_200_reviews_17,These were a debacle start to finish.
Beauty_and_Personal_Care-first_200_reviews_18,I should have checked the bottles better before putting my ink in.
Beauty_and_Personal_Care-first_200_reviews_19,"1/4 work okay, but will still spill ink if knocked over or shaken."
Beauty_and_Personal_Care-first_200_reviews_20,"1/4 spray, but the spray is like a diagonal slash pattern not a nice round spray pattern  1/2 won’t spray at all."
Beauty_and_Personal_Care-first_200_reviews_21,Literally worst amazon purchase ever & now my inks are trapped in an item I need to return!!!
Beauty_and_Personal_Care-first_200_reviews_22,Bought this for my granddaughter.
Beauty_and_Personal_Care-first_200_reviews_23,Her entire family including her 4 siblings & mom & dad love doing these.
Beauty_and_Personal_Care-first_200_reviews_24,Not sharp enough to cut smoothly.
Beauty_and_Personal_Care-first_200_reviews_25,These are extremely dull and will wreck your nails.
Beauty_and_Personal_Care-first_200_reviews_26,They were not sharpened apparently.
Beauty_and_Personal_Care-first_200_reviews_27,"It’s a complete waste of money, but luckily Amazon refunded me."
Beauty_and_Personal_Care-first_200_reviews_28,"Pretty, but didn’t close correctly."
Beauty_and_Personal_Care-first_200_reviews_29,Mine wouldn’t close correctly so I sent it back.
Beauty_and_Personal_Care-first_200_reviews_30,"It’s pretty and useful, but expect it to close properly."
Beauty_and_Personal_Care-first_200_reviews_31,Unbottled disappointment I don't often leave negative feedback about products - it really has to be a pretty poorly made product for that to happen.
Beauty_and_Personal_Care-first_200_reviews_32,"Unfortunately, these bottles are super leaky, even with the rollerball tightly secured and the lid properly screwed on."
Beauty_and_Personal_Care-first_200_reviews_33,"The screw-on lids seem a poor fit for the bottles, and one of them leaked all over a leather purse in which the bottle was being carried, ruining it."
Beauty_and_Personal_Care-first_200_reviews_34,"(First world problems, I know)."
Beauty_and_Personal_Care-first_200_reviews_35,"I contacted Amazon to see about a refund, but the only way they would refund the purchase is if I returned the bottles - which are filled with essential oil blends, and I would have to dump it all out to send the bottles back, or buy another set of bottles and try to transfer the oil over."
Beauty_and_Personal_Care-first_200_reviews_36,"For $9 it wasn't worth all that, even with the $5 additional credit they offered, so I had to chalk this up as a loss and a &#34;buyer beware - read the reviews!&#34; So please - read the reviews."
Beauty_and_Personal_Care-first_200_reviews_37,I'm not the only one who had this problem!
Beauty_and_Personal_Care-first_200_reviews_38,"(Also, note the number of people who received a discount or received this product for free in exchange for leaving a review)."
Beauty_and_Personal_Care-first_200_reviews_39,"Based on other reviews, I thought this would be a great product."
Beauty_and_Personal_Care-first_200_reviews_40,"I was surprised and disappointed to discover that this shade is truly colorless on my lips, and it doesn't possess any noticeable plumping factor."
Beauty_and_Personal_Care-first_200_reviews_41,"Also, other reviewers mentioned that this burns quite a bit and I totally disagree."
Beauty_and_Personal_Care-first_200_reviews_42,There is some level of slight burning but it's very subtle.
Beauty_and_Personal_Care-first_200_reviews_43,"I've tried other lip plumpers that work much better, such as the Physician's Formula Plump Potion."
Beauty_and_Personal_Care-first_200_reviews_44,"While very sticky, that particular gloss does do what it's advertised to do."
Beauty_and_Personal_Care-first_200_reviews_45,The NYX Pump it Up gloss really isn't worth the money.
Beauty_and_Personal_Care-first_200_reviews_46,"Anyway, people looking for long-lasting plumping won't really get results from a lip gloss - that usually requires some sort of collagen injection, and I'm not about to go there."
Beauty_and_Personal_Care-first_200_reviews_47,I'll just have to be satisfied with my less-than-Angelina pout and chalk it up to genetics.
Beauty_and_Personal_Care-first_200_reviews_48,Five Stars This stuff smells amazing.... got it for my man.
Beauty_and_Personal_Care-first_200_reviews_49,OK I have used PFB vanish normally and decided to try this set instead.
Beauty_and_Personal_Care-first_200_reviews_50,"Very heavy alcohol with the tend skin, it does work however but its just OK in my book."
Beauty_and_Personal_Care-first_200_reviews_51,I will definitely keep and use but not sure I'd repurchase.
Beauty_and_Personal_Care-first_200_reviews_52,The roller/travel item- its nice that it can be refilled but just doesn't work all that well.
Beauty_and_Personal_Care-first_200_reviews_53,Neutral set flatters most Nice set at a reasonable price.
Beauty_and_Personal_Care-first_200_reviews_54,I got a few for gifts.
Beauty_and_Personal_Care-first_200_reviews_55,I will say the lipstick is a bit grainy/dry but the color is very pretty.
Beauty_and_Personal_Care-first_200_reviews_56,I mix it with balm or gloss to wear
Beauty_and_Personal_Care-first_200_reviews_57,These are very cute but they are quite small and the quality of the clips varies quite a bit.
Beauty_and_Personal_Care-first_200_reviews_58,Beautiful palette- very pleased .
Beauty_and_Personal_Care-first_200_reviews_59,I got one as a gift and one for myself.
Beauty_and_Personal_Care-first_200_reviews_60,Great range of both fun and neutral colors.
Beauty_and_Personal_Care-first_200_reviews_61,"I returned this item because it had terrible coverage, similar to using a skin tone primer."
Beauty_and_Personal_Care-first_200_reviews_62,The consistency is high in dimethicone/silicone ingredients and very low on pigment.<br /><br />Save your money and buy Kryolan brand makeup instead.
Beauty_and_Personal_Care-first_200_reviews_63,Their heaviest coverage covers tattoos and bruises which is exactly what I was looking for.
Beauty_and_Personal_Care-first_200_reviews_64,My favorite colored-hair shampoo and conditioner!!!
Beauty_and_Personal_Care-first_200_reviews_65,The scent is fresh like apples and the lather is nice without being stripping to the hair.
Beauty_and_Personal_Care-first_200_reviews_66,The conditioner replenishes whatever the shampoo removes and did I say I love the scent??
Beauty_and_Personal_Care-first_200_reviews_67,☺️ Good sizes for the price....
Beauty_and_Personal_Care-first_200_reviews_68,PSA TO ALL CRAVING DIRT: CHECK YOUR IRON LEVELS!!!!!!!
Beauty_and_Personal_Care-first_200_reviews_69,I used to work for Sephora.
Beauty_and_Personal_Care-first_200_reviews_70,This definitely smells like fresh soil.
Beauty_and_Personal_Care-first_200_reviews_71,We never understood why people actually bought it.
Beauty_and_Personal_Care-first_200_reviews_72,"Decades later, I found out those with anemia and iron deficiency have cravings to eat or smell dirt."
Beauty_and_Personal_Care-first_200_reviews_73,They also get cravings to eat ice.
Beauty_and_Personal_Care-first_200_reviews_74,"Severe anxiety is another symptom and if you drink a lot of caffeine, you are probably low."
Beauty_and_Personal_Care-first_200_reviews_75,"Please see a hematologist to get your iron ferritin checked, asap."
Beauty_and_Personal_Care-first_200_reviews_76,"With 3 girls, we go through a LOT of hair ties!"
Beauty_and_Personal_Care-first_200_reviews_77,These are wonderful and there are a ton of them!!
Beauty_and_Personal_Care-first_200_reviews_78,They fit around my pointer finger… about 1”.
Beauty_and_Personal_Care-first_200_reviews_79,Doesn't work for THICK hair .
Beauty_and_Personal_Care-first_200_reviews_80,I have thick hair and have to use 3 of these to keep my hair up.
Beauty_and_Personal_Care-first_200_reviews_81,My hair is about to my collar bone and if it was longer might be easier to keep up.
Beauty_and_Personal_Care-first_200_reviews_82,I thought these were great the first time I tried but then my hair kept falling down so I had to keep adding more clips to keep my hair up.
Beauty_and_Personal_Care-first_200_reviews_83,I will probably just end up purchasing a more expensive higher quality French twist comb for my thick hair.
Beauty_and_Personal_Care-first_200_reviews_84,Oh also the prongs after a few uses are already bending and coming out of shape.
Beauty_and_Personal_Care-first_200_reviews_85,Not a horrible comb but not that good either.
Beauty_and_Personal_Care-first_200_reviews_86,good cetaphil is like the best lotion on planet earth.
Beauty_and_Personal_Care-first_200_reviews_87,super good for sensitive skin
Beauty_and_Personal_Care-first_200_reviews_88,can sleep in it for a day or 2 no problem
Beauty_and_Personal_Care-first_200_reviews_89,Will never go back to disposable razors again!
Beauty_and_Personal_Care-first_200_reviews_90,Bought this for my man & he LOVES it!
Beauty_and_Personal_Care-first_200_reviews_91,He said he will never go back to disposable razors again!
Beauty_and_Personal_Care-first_200_reviews_92,He said there was no learning curve at all switching from disposable to safety razors!
Beauty_and_Personal_Care-first_200_reviews_93,Three Stars Not as easy to apply as liquid eyeliner.
Beauty_and_Personal_Care-first_200_reviews_94,Five Stars Been using this product for years & I love it!
Beauty_and_Personal_Care-first_200_reviews_95,What a nice scrub this is.
Beauty_and_Personal_Care-first_200_reviews_96,Smells so good but light too.
Beauty_and_Personal_Care-first_200_reviews_97,The scrub is effective and the product rinses well.
Beauty_and_Personal_Care-first_200_reviews_98,You will need moisturizer afterward.
Beauty_and_Personal_Care-first_200_reviews_99,I live in AZ so I'm always dry.
Beauty_and_Personal_Care-first_200_reviews_100,This stuff is a luxurious vacation in a bottle.
Beauty_and_Personal_Care-first_200_reviews_101,It smells heavenly but not overwhelming at all.
Beauty_and_Personal_Care-first_200_reviews_102,"My hair is so soft, I didn't need conditioner."
Beauty_and_Personal_Care-first_200_reviews_103,Bets stuff for a fraction of what some cost.
Beauty_and_Personal_Care-first_200_reviews_104,this smells weird I love this brand of sugar scrub but this is the first time I tried the lemon and its weird.
Beauty_and_Personal_Care-first_200_reviews_105,it also was shipped and left out in the heat causing the package to leak so maybe that was the issue.
Beauty_and_Personal_Care-first_200_reviews_106,Put it up off my neck!
Beauty_and_Personal_Care-first_200_reviews_107,I used these from the age of 16.
Beauty_and_Personal_Care-first_200_reviews_108,Waist length hair and TX heat made me a way to get it off my neck.
Beauty_and_Personal_Care-first_200_reviews_109,Wrapping up the hair around my hand and start pinning up.
Beauty_and_Personal_Care-first_200_reviews_110,Holds tightly all day long.
Beauty_and_Personal_Care-first_200_reviews_111,Great sunscreen with minimal smell.
Beauty_and_Personal_Care-first_200_reviews_112,If you spray slowly you'll see some white from the minerals but it rubs in easily.
Beauty_and_Personal_Care-first_200_reviews_113,I put it on every morning.
Beauty_and_Personal_Care-first_200_reviews_114,There is a slight odor but it dissipates quickly.
Beauty_and_Personal_Care-first_200_reviews_115,I kept two and gave one as a gift.
Beauty_and_Personal_Care-first_200_reviews_116,"I bought this to create work appropriate looks, and it works well for that."
